order_id,order_date,product,category,quantity,unit_price,region
1001,2026-01-15,Wireless Mouse,Electronics,2,25.50,North
1002,2026-01-15,Mechanical Keyboard,Electronics,1,85.00,West
1003,2026-01-16,Ergonomic Chair,Furniture,1,250.00,East
1004,2026-01-16,Standing Desk,Furniture,2,450.00,North
1005,2026-01-17,USB-C Cable,Electronics,5,12.00,South
1006,2026-01-17,Monitor Arm,Furniture,2,75.00,West
1007,2026-01-18,Noise Canceling Headphones,Electronics,1,199.99,East
1008,2026-01-18,Desk Mat,Furniture,3,18.50,South
1009,2026-01-19,Webcam HD,Electronics,2,60.00,North
1010,2026-01-19,LED Desk Lamp,Furniture,1,35.00,South
